Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
SHITOMASI,SIFT,4,1333,120,14.054,21.155,MAT_BF,SEL_KNN,103,0.203
SHITOMASI,SIFT,5,1284,113,15.214,22.011,MAT_BF,SEL_KNN,99,0.251
SHITOMASI,SIFT,6,1322,114,14.204,18.007,MAT_BF,SEL_KNN,101,0.193
SHITOMASI,SIFT,7,1366,123,9.417,10.487,MAT_BF,SEL_KNN,96,0.258
SHITOMASI,SIFT,8,1389,111,13.163,20.973,MAT_BF,SEL_KNN,106,0.230
SHITOMASI,SIFT,9,1339,112,13.268,21.411,MAT_BF,SEL_KNN,97,0.187

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
HARRIS,BRISK,0,115,17,24.247,0.425,MAT_BF,SEL_KNN,0,0.000
HARRIS,BRISK,1,98,14,19.394,1.647,MAT_BF,SEL_KNN,12,0.272
HARRIS,BRISK,2,113,18,16.458,1.756,MAT_BF,SEL_KNN,10,0.069
HARRIS,BRISK,3,121,21,14.694,1.847,MAT_BF,SEL_KNN,14,0.090
HARRIS,BRISK,4,160,26,13.075,1.667,MAT_BF,SEL_KNN,15,0.113
HARRIS,BRISK,5,383,43,20.607,0.469,MAT_BF,SEL_KNN,16,0.110
HARRIS,BRISK,6,85,18,12.588,2.038,MAT_BF,SEL_KNN,16,0.118
HARRIS,BRISK,7,210,31,14.047,1.862,MAT_BF,SEL_KNN,15,0.109
HARRIS,BRISK,8,171,26,13.386,2.099,MAT_BF,SEL_KNN,23,0.101
HARRIS,BRISK,9,281,34,16.319,1.873,MAT_BF,SEL_KNN,21,0.113

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
HARRIS,BRIEF,0,115,17,23.050,0.494,MAT_BF,SEL_KNN,0,0.000
HARRIS,BRIEF,1,98,14,21.030,2.400,MAT_BF,SEL_KNN,14,0.336
HARRIS,BRIEF,2,113,18,17.133,1.587,MAT_BF,SEL_KNN,11,0.104
HARRIS,BRIEF,3,121,21,15.358,2.072,MAT_BF,SEL_KNN,15,0.118
HARRIS,BRIEF,4,160,26,14.038,1.687,MAT_BF,SEL_KNN,20,0.096
HARRIS,BRIEF,5,383,43,22.149,0.452,MAT_BF,SEL_KNN,24,0.099
HARRIS,BRIEF,6,85,18,10.932,1.597,MAT_BF,SEL_KNN,26,0.110
HARRIS,BRIEF,7,210,31,14.426,1.731,MAT_BF,SEL_KNN,16,0.125
HARRIS,BRIEF,8,171,26,14.120,1.689,MAT_BF,SEL_KNN,24,0.096
HARRIS,BRIEF,9,281,34,16.559,1.724,MAT_BF,SEL_KNN,23,0.099

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
HARRIS,ORB,0,115,17,24.367,0.941,MAT_BF,SEL_KNN,0,0.000
HARRIS,ORB,1,98,14,26.125,1.589,MAT_BF,SEL_KNN,12,0.264
HARRIS,ORB,2,113,18,18.543,0.657,MAT_BF,SEL_KNN,12,0.118
HARRIS,ORB,3,121,21,15.913,0.643,MAT_BF,SEL_KNN,15,0.115
HARRIS,ORB,4,160,26,13.374,0.584,MAT_BF,SEL_KNN,18,0.141
HARRIS,ORB,5,383,43,21.142,0.587,MAT_BF,SEL_KNN,24,0.083
HARRIS,ORB,6,85,18,12.301,0.705,MAT_BF,SEL_KNN,20,0.133
HARRIS,ORB,7,210,31,15.311,0.631,MAT_BF,SEL_KNN,15,0.093
HARRIS,ORB,8,171,26,14.404,0.775,MAT_BF,SEL_KNN,24,0.117
HARRIS,ORB,9,281,34,14.729,0.826,MAT_BF,SEL_KNN,22,0.115

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
HARRIS,FREAK,0,115,17,22.428,44.299,MAT_BF,SEL_KNN,0,0.000
HARRIS,FREAK,1,98,14,21.335,33.491,MAT_BF,SEL_KNN,13,0.483
HARRIS,FREAK,2,113,18,19.101,31.390,MAT_BF,SEL_KNN,13,0.121
HARRIS,FREAK,3,121,21,9.743,31.811,MAT_BF,SEL_KNN,15,0.121
HARRIS,FREAK,4,160,26,9.289,32.303,MAT_BF,SEL_KNN,15,0.116
HARRIS,FREAK,5,383,43,17.962,31.292,MAT_BF,SEL_KNN,17,0.116
HARRIS,FREAK,6,85,18,8.083,31.793,MAT_BF,SEL_KNN,20,0.132
HARRIS,FREAK,7,210,31,9.527,31.165,MAT_BF,SEL_KNN,12,0.111
HARRIS,FREAK,8,171,26,10.289,32.478,MAT_BF,SEL_KNN,21,0.114
HARRIS,FREAK,9,281,34,11.838,31.319,MAT_BF,SEL_KNN,18,0.113

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
HARRIS,AKAZE

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
HARRIS,SIFT,0,115,17,22.114,26.574,MAT_BF,SEL_KNN,0,0.000
HARRIS,SIFT,1,98,14,18.352,8.667,MAT_BF,SEL_KNN,14,0.269
HARRIS,SIFT,2,113,18,13.057,12.576,MAT_BF,SEL_KNN,11,0.034
HARRIS,SIFT,3,121,21,13.133,21.063,MAT_BF,SEL_KNN,16,0.049
HARRIS,SIFT,4,160,26,14.780,20.404,MAT_BF,SEL_KNN,19,0.052
HARRIS,SIFT,5,383,43,20.563,20.361,MAT_BF,SEL_KNN,22,0.076
HARRIS,SIFT,6,85,18,10.885,9.691,MAT_BF,SEL_KNN,22,0.111
HARRIS,SIFT,7,210,31,12.354,20.480,MAT_BF,SEL_KNN,13,0.039
HARRIS,SIFT,8,171,26,13.222,20.777,MAT_BF,SEL_KNN,24,0.058
HARRIS,SIFT,9,281,34,17.037,20.398,MAT_BF,SEL_KNN,22,0.059

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchingTime(ms))
FAST,BRISK,0,5063,419,2.012,4.807,MAT_BF,SEL_KNN,0,0.000
