Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
SHITOMASI,SIFT,0,1370,125,2.000,4.000,9.381,20.313,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
SHITOMASI,SIFT,1,1301,118,2.000,4.000,10.082,12.275,MAT_BF,SEL_KNN,112,49.115,5660.350,0.791
SHITOMASI,SIFT,2,1361,123,2.000,4.000,10.644,10.200,MAT_BF,SEL_KNN,109,46.200,5002.539,0.277
SHITOMASI,SIFT,3,1358,120,2.000,4.000,10.672,9.802,MAT_BF,SEL_KNN,104,44.790,4452.318,0.247
SHITOMASI,SIFT,4,1333,120,2.000,4.000,10.603,9.014,MAT_BF,SEL_KNN,103,39.512,3275.432,0.245
SHITOMASI,SIFT,5,1284,113,2.000,4.000,11.133,11.078,MAT_BF,SEL_KNN,99,39.867,3035.894,0.201
SHITOMASI,SIFT,6,1322,114,2.000,4.000,11.595,11.121,MAT_BF,SEL_KNN,101,44.134,3777.471,0.264
SHITOMASI,SIFT,7,1366,123,2.000,4.000,13.329,11.761,MAT_BF,SEL_KNN,96,37.578,3464.429,0.236
SHITOMASI,SIFT,8,1389,111,2.000,4.000,9.951,9.182,MAT_BF,SEL_KNN,106,43.971,4662.798,0.267
SHITOMASI,SIFT,9,1339,112,2.000,4.000,10.598,8.847,MAT_BF,SEL_KNN,97,38.909,3364.721,0.222

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
HARRIS,BRISK,0,115,17,3.000,9.000,11.634,0.415,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
HARRIS,BRISK,1,98,14,3.000,9.000,10.127,0.316,MAT_BF,SEL_KNN,12,30.625,1352.734,0.081
HARRIS,BRISK,2,113,18,3.000,9.000,9.687,0.352,MAT_BF,SEL_KNN,10,26.100,1001.190,0.069
HARRIS,BRISK,3,121,21,3.000,9.000,10.167,0.328,MAT_BF,SEL_KNN,14,33.536,1803.534,0.091
HARRIS,BRISK,4,160,26,3.000,9.000,10.714,0.440,MAT_BF,SEL_KNN,15,29.333,1284.555,0.095
HARRIS,BRISK,5,383,43,3.000,9.000,19.791,0.476,MAT_BF,SEL_KNN,16,26.688,1055.027,0.095
HARRIS,BRISK,6,85,18,3.000,9.000,10.638,0.313,MAT_BF,SEL_KNN,16,29.875,1507.172,0.110
HARRIS,BRISK,7,210,31,3.000,9.000,10.393,0.459,MAT_BF,SEL_KNN,15,25.500,1091.183,0.089
HARRIS,BRISK,8,171,26,3.000,9.000,10.730,0.360,MAT_BF,SEL_KNN,23,29.696,1401.820,0.081
HARRIS,BRISK,9,281,34,3.000,9.000,14.047,0.486,MAT_BF,SEL_KNN,21,25.810,1247.392,0.109

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
HARRIS,BRIEF,0,115,17,3.000,9.000,13.715,0.464,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
HARRIS,BRIEF,1,98,14,3.000,9.000,9.928,0.281,MAT_BF,SEL_KNN,14,7.821,145.790,0.100
HARRIS,BRIEF,2,113,18,3.000,9.000,9.773,0.563,MAT_BF,SEL_KNN,11,6.500,70.432,0.104
HARRIS,BRIEF,3,121,21,3.000,9.000,11.562,0.425,MAT_BF,SEL_KNN,15,7.100,113.423,0.111
HARRIS,BRIEF,4,160,26,3.000,9.000,10.386,0.449,MAT_BF,SEL_KNN,20,9.700,254.660,0.134
HARRIS,BRIEF,5,383,43,3.000,9.000,20.538,0.480,MAT_BF,SEL_KNN,24,8.479,187.750,0.156
HARRIS,BRIEF,6,85,18,3.000,9.000,9.896,0.408,MAT_BF,SEL_KNN,26,13.577,458.898,0.139
HARRIS,BRIEF,7,210,31,3.000,9.000,13.032,0.438,MAT_BF,SEL_KNN,16,7.188,122.840,0.105
HARRIS,BRIEF,8,171,26,3.000,9.000,11.365,0.423,MAT_BF,SEL_KNN,24,7.604,165.864,0.117
HARRIS,BRIEF,9,281,34,3.000,9.000,14.559,0.576,MAT_BF,SEL_KNN,23,7.217,145.127,0.162

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
HARRIS,ORB,0,115,17,3.000,9.000,10.128,0.808,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
HARRIS,ORB,1,98,14,3.000,9.000,10.610,0.855,MAT_BF,SEL_KNN,12,6.875,81.859,0.109
HARRIS,ORB,2,113,18,3.000,9.000,11.175,1.243,MAT_BF,SEL_KNN,12,10.083,220.826,0.127
HARRIS,ORB,3,121,21,3.000,9.000,10.937,0.844,MAT_BF,SEL_KNN,15,8.600,128.707,0.160
HARRIS,ORB,4,160,26,3.000,9.000,11.847,0.888,MAT_BF,SEL_KNN,18,8.083,130.299,0.113
HARRIS,ORB,5,383,43,3.000,9.000,21.840,0.754,MAT_BF,SEL_KNN,24,10.562,284.413,0.161
HARRIS,ORB,6,85,18,3.000,9.000,11.131,0.819,MAT_BF,SEL_KNN,20,10.600,260.590,0.161
HARRIS,ORB,7,210,31,3.000,9.000,13.700,0.792,MAT_BF,SEL_KNN,15,6.667,102.422,0.107
HARRIS,ORB,8,171,26,3.000,9.000,11.453,0.739,MAT_BF,SEL_KNN,24,9.000,193.500,0.153
HARRIS,ORB,9,281,34,3.000,9.000,15.261,0.827,MAT_BF,SEL_KNN,22,8.159,181.543,0.134

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
HARRIS,FREAK,0,115,17,3.000,9.000,10.248,32.600,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
HARRIS,FREAK,1,98,14,3.000,9.000,9.177,33.071,MAT_BF,SEL_KNN,13,24.615,1015.698,0.078
HARRIS,FREAK,2,113,18,3.000,9.000,11.001,32.711,MAT_BF,SEL_KNN,13,28.115,1271.179,0.076
HARRIS,FREAK,3,121,21,3.000,9.000,10.101,31.787,MAT_BF,SEL_KNN,15,29.600,1278.573,0.106
HARRIS,FREAK,4,160,26,3.000,9.000,10.781,32.297,MAT_BF,SEL_KNN,15,22.600,734.373,0.108
HARRIS,FREAK,5,383,43,3.000,9.000,22.260,32.980,MAT_BF,SEL_KNN,17,24.794,1006.987,0.128
HARRIS,FREAK,6,85,18,3.000,9.000,9.634,32.227,MAT_BF,SEL_KNN,20,31.600,1625.890,0.109
HARRIS,FREAK,7,210,31,3.000,9.000,11.401,31.969,MAT_BF,SEL_KNN,12,26.583,1103.660,0.115
HARRIS,FREAK,8,171,26,3.000,9.000,10.929,34.065,MAT_BF,SEL_KNN,21,24.333,908.032,0.159
HARRIS,FREAK,9,281,34,3.000,9.000,15.111,36.254,MAT_BF,SEL_KNN,18,18.694,497.768,0.086

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
HARRIS,SIFT,0,115,17,3.000,9.000,11.722,9.537,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
HARRIS,SIFT,1,98,14,3.000,9.000,11.220,8.618,MAT_BF,SEL_KNN,14,43.836,7597.215,0.047
HARRIS,SIFT,2,113,18,3.000,9.000,11.228,9.171,MAT_BF,SEL_KNN,11,31.622,2256.220,0.052
HARRIS,SIFT,3,121,21,3.000,9.000,10.756,10.579,MAT_BF,SEL_KNN,16,43.083,4884.660,0.050
HARRIS,SIFT,4,160,26,3.000,9.000,9.738,8.944,MAT_BF,SEL_KNN,19,47.182,6063.100,0.065
HARRIS,SIFT,5,383,43,3.000,9.000,20.442,9.174,MAT_BF,SEL_KNN,22,34.476,2394.543,0.067
HARRIS,SIFT,6,85,18,3.000,9.000,11.063,8.175,MAT_BF,SEL_KNN,22,58.613,8127.365,0.067
HARRIS,SIFT,7,210,31,3.000,9.000,12.073,10.230,MAT_BF,SEL_KNN,13,37.311,4378.066,0.104
HARRIS,SIFT,8,171,26,3.000,9.000,11.205,10.085,MAT_BF,SEL_KNN,24,42.852,5435.185,0.070
HARRIS,SIFT,9,281,34,3.000,9.000,14.158,8.428,MAT_BF,SEL_KNN,22,36.229,3036.446,0.081

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,BRISK,0,5063,419,3.500,12.250,2.752,3.009,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
FAST,BRISK,1,4952,427,3.500,12.250,2.307,3.431,MAT_BF,SEL_KNN,256,25.555,939.852,1.581
FAST,BRISK,2,4863,404,3.500,12.250,1.946,2.927,MAT_BF,SEL_KNN,243,24.165,879.635,1.058
FAST,BRISK,3,4840,423,3.500,12.250,2.354,3.104,MAT_BF,SEL_KNN,241,27.122,1038.518,0.960
FAST,BRISK,4,4856,386,3.500,12.250,2.159,2.842,MAT_BF,SEL_KNN,239,27.140,1049.171,1.012
FAST,BRISK,5,4899,414,3.500,12.250,2.237,3.010,MAT_BF,SEL_KNN,215,25.228,885.962,1.077
FAST,BRISK,6,4870,418,3.500,12.250,2.040,2.938,MAT_BF,SEL_KNN,251,25.398,939.542,1.089
FAST,BRISK,7,4868,406,3.500,12.250,2.237,2.951,MAT_BF,SEL_KNN,248,24.829,910.928,1.023
FAST,BRISK,8,4996,396,3.500,12.250,1.944,2.995,MAT_BF,SEL_KNN,243,24.533,898.319,1.029
FAST,BRISK,9,4997,401,3.500,12.250,2.314,2.965,MAT_BF,SEL_KNN,247,24.613,895.132,1.004

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,BRIEF,0,5063,419,3.500,12.250,2.164,1.347,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
FAST,BRIEF,1,4952,427,3.500,12.250,2.300,1.425,MAT_BF,SEL_KNN,320,6.158,83.714,0.936
FAST,BRIEF,2,4863,404,3.500,12.250,2.224,1.585,MAT_BF,SEL_KNN,332,6.386,90.062,1.076
FAST,BRIEF,3,4840,423,3.500,12.250,2.389,1.436,MAT_BF,SEL_KNN,299,6.405,83.980,1.067
FAST,BRIEF,4,4856,386,3.500,12.250,1.995,2.003,MAT_BF,SEL_KNN,331,6.668,90.364,0.960
FAST,BRIEF,5,4899,414,3.500,12.250,2.244,1.359,MAT_BF,SEL_KNN,276,5.868,79.676,0.967
FAST,BRIEF,6,4870,418,3.500,12.250,2.322,1.725,MAT_BF,SEL_KNN,327,5.925,66.345,1.038
FAST,BRIEF,7,4868,406,3.500,12.250,2.250,1.563,MAT_BF,SEL_KNN,324,5.806,75.836,1.015
FAST,BRIEF,8,4996,396,3.500,12.250,2.284,1.365,MAT_BF,SEL_KNN,315,6.154,80.787,1.027
FAST,BRIEF,9,4997,401,3.500,12.250,2.056,1.936,MAT_BF,SEL_KNN,307,5.902,66.981,0.930

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,ORB,0,5063,419,3.500,12.250,2.417,2.036,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
FAST,ORB,1,4952,427,3.500,12.250,2.337,1.322,MAT_BF,SEL_KNN,307,8.336,131.148,1.010
FAST,ORB,2,4863,404,3.500,12.250,2.545,1.413,MAT_BF,SEL_KNN,308,7.938,118.058,1.099
